Tiempo (s),Factibles,Infactibles (Podas FC)
1,207984,580
2,415110,1220
3,623714,1865
4,831832,2510
5,1040334,2980
6,1249116,3625
7,1457673,4270
8,1664039,4910
9,1870138,5375
10,2078321,6015
11,2286036,6660
12,2490018,7290
13,2694419,7925
14,2899090,8385
15,3106536,9030
16,3314839,9675
17,3522254,10315
18,3730030,10780
19,3937818,11425
20,4143669,12060
21,4349075,12695
22,4553712,13330
23,4760722,13795
24,4968059,14435
25,5171867,15065
26,5376081,15700
27,5584159,16175
28,5792439,16815
29,5998846,17455
30,6203874,18090
31,6407011,18720
32,6611190,19175
33,6815606,19810
34,7020236,20440
35,7224403,21070
36,7428246,21530
37,7632984,22160
38,7837686,22795
39,8041746,23425
40,8245401,24055
41,8450262,24520
42,8654787,25150
43,8859742,25785
44,9066088,26425
45,9272741,26890
46,9479545,27530
47,9686107,28170
48,9892119,28805
49,10096071,29435
50,10302469,29900
51,10508590,30535
52,10716671,31180
53,10924439,31825
54,11131824,32295
55,11337813,32935
56,11541529,33565
57,11745408,34195
58,11948804,34825
59,12152897,35280
60,12356714,35910
61,12561033,36540
62,12765491,37175
63,12969455,37630
64,13174173,38265
65,13378172,38895
66,13580925,39520
67,13782913,40145
68,13986020,40605
69,14189752,41235
70,14392792,41865
71,14594261,42485
72,14795779,42960
73,14999342,43565
74,15203031,44195
75,15405923,44825
76,15608632,45450
77,15811866,45905
78,16013358,46525
79,16215586,47155
80,16417342,47775
81,16615047,48330
82,16819385,48850
83,17022618,49480
84,17226510,50110
85,17429815,50740
86,17633354,51195
87,17836700,51825
88,18043444,52460
89,18249012,53100
90,18453991,53700
91,18659935,54195
92,18865695,54830
93,19071194,55465
94,19274673,56095
95,19483635,56575
96,19688493,57205
97,19892145,57835
98,20054363,58340
99,20250712,58945
100,20447664,59380
101,20644832,59990
102,20843682,60605
103,21042351,61220
104,21240350,61755
105,21439567,62275
106,21638779,62890
107,21837790,63505
108,22036595,64120
109,22235785,64565
110,22434713,65180
111,22633154,65795
112,22833544,66415
113,23036039,67045
114,23239032,67495
115,23441814,68125
116,23641384,68740
117,23842821,69365
118,24045176,69815
119,24245777,70435
120,24445628,71055
