Tiempo (s),Nodos
1,208128
2,415383
3,624116
4,832363
5,1040994
6,1249905
7,1458591
8,1665085
9,1871311
10,2079623
11,2287467
12,2491575
13,2696103
14,2900901
15,3108476
16,3316908
17,3524451
18,3732356
19,3940272
20,4146251
21,4351784
22,4556548
23,4763686
24,4971151
25,5175085
26,5379426
27,5587634
28,5796043
29,6002577
30,6207732
31,6410995
32,6615300
33,6819843
34,7024600
35,7228893
36,7432862
37,7637727
38,7842556
39,8046742
40,8250523
41,8455512
42,8660164
43,8865245
44,9071719
45,9278500
46,9485432
47,9692122
48,9898262
49,10102340
50,10308866
51,10515114
52,10723324
53,10931221
54,11138735
55,11344852
56,11548694
57,11752699
58,11956221
59,12160440
60,12364383
61,12568829
62,12773414
63,12977504
64,13182348
65,13386474
66,13589352
67,13791465
68,13994699
69,14198557
70,14401723
71,14603317
72,14804959
73,15008648
74,15212464
75,15415481
76,15618316
77,15821675
78,16023292
79,16225645
80,16427526
81,16625354
82,16829819
83,17033178
84,17237196
85,17440627
86,17644292
87,17847764
88,18054636
89,18260331
90,18465437
91,18671509
92,18877396
93,19083022
94,19286627
95,19495720
96,19700704
97,19904483
98,20066801
99,20263272
100,20460345
101,20657635
102,20856609
103,21055401
104,21253522
105,21452862
106,21652198
107,21851332
108,22050260
109,22249574
110,22448626
111,22647189
112,22847704
113,23050324
114,23253442
115,23456350
116,23656044
117,23857605
118,24060086
119,24260811
120,24460786
