Tiempo (s),Factibles,Infactibles (Choques)
1,189968,654
2,386126,1259
3,586811,1884
4,787588,2504
5,985812,2954
6,1182502,3564
7,1376889,4164
8,1574169,4779
9,1767709,5374
10,1963042,5819
11,2161426,6434
12,2366978,7069
13,2572439,7704
14,2777257,8214
15,2962477,8754
16,3160575,9369
17,3360209,9989
18,3558698,10599
19,3760764,11064
20,3965087,11699
21,4169227,12329
22,4373006,12959
23,4573792,13579
24,4776837,14049
25,4972707,14654
26,5173038,15274
27,5374501,15899
28,5570658,16349
29,5766817,16959
30,5965429,17569
31,6170118,18204
32,6370363,18824
33,6566214,19269
34,6760195,19869
35,6956564,20479
36,7157237,21099
37,7356467,21711
38,7553817,22164
39,7751041,22774
40,7947910,23384
41,8144485,23994
42,8341038,24444
43,8538474,25054
44,8735534,25664
45,8930989,26269
46,9128712,26884
47,9328111,27339
48,9527159,27954
49,9726193,28569
50,9924840,29184
51,10122165,29794
52,10320787,30249
53,10519499,30864
54,10717482,31479
55,10913420,32084
56,11108825,32534
57,11305543,33144
58,11502535,33749
59,11699509,34359
60,11896515,34969
61,12093657,35419
62,12290764,36029
63,12487781,36639
64,12684736,37249
65,12881452,37859
66,13078295,38304
67,13275386,38914
68,13471704,39524
69,13667472,40129
70,13864167,40614
71,14061357,41194
72,14258636,41804
73,14455712,42414
74,14652657,43024
75,14849631,43469
76,15046625,44079
77,15243659,44689
78,15440564,45299
79,15641401,45919
80,15840417,46374
81,16038311,46989
82,16236076,47599
83,16435870,48219
84,16642088,48714
85,16842872,49324
86,17040544,49934
87,17238279,50544
88,17435596,51154
89,17633068,51609
90,17830569,52219
91,18027989,52829
92,18223943,53434
93,18420680,54044
94,18617382,54494
95,18814136,55099
96,19010801,55709
97,19208048,56319
98,19405225,56814
99,19602633,57384
100,19800169,57994
101,19987604,58574
102,20154386,59094
103,20349425,59534
104,20544100,60139
105,20738578,60739
106,20933050,61339
107,21127221,61944
108,21321934,62384
109,21516800,62989
110,21710748,63589
111,21905258,64189
112,22099648,64789
113,22294101,65234
114,22488315,65839
115,22683800,66444
116,22879450,67049
117,23075283,67614
118,23271215,68099
119,23467108,68704
120,23664209,69314
