Tiempo (s),Nodos
1,190101
2,386381
3,587190
4,788091
5,986438
6,1183250
7,1377757
8,1575159
9,1768819
10,1964273
11,2162780
12,2368459
13,2574047
14,2778993
15,2964328
16,3162548
17,3362306
18,3560918
19,3763109
20,3967558
21,4171825
22,4375730
23,4576640
24,4779811
25,4975802
26,5176257
27,5377845
28,5574124
29,5770405
30,5969140
31,6173955
32,6374324
33,6570297
34,6764398
35,6960888
36,7161686
37,7361039
38,7558511
39,7755857
40,7952848
41,8149545
42,8346220
43,8543779
44,8740961
45,8936537
46,9134382
47,9333904
48,9533076
49,9732233
50,9931003
51,10128450
52,10327195
53,10526030
54,10724136
55,10920195
56,11115722
57,11312562
58,11509676
59,11706772
60,11903900
61,12101164
62,12298393
63,12495532
64,12692609
65,12889446
66,13086411
67,13283624
68,13480064
69,13675953
70,13872771
71,14070083
72,14267484
73,14464682
74,14661749
75,14858845
76,15055961
77,15253117
78,15450144
79,15651105
80,15850244
81,16048261
82,16246148
83,16446066
84,16652412
85,16853321
86,17051115
87,17248973
88,17446412
89,17644006
90,17841629
91,18039171
92,18235247
93,18432106
94,18628929
95,18825805
96,19022592
97,19219961
98,19417261
99,19614791
100,19812450
101,20000001
102,20166886
103,20362046
104,20556841
105,20751440
106,20946032
107,21140323
108,21335157
109,21530143
110,21724211
111,21918842
112,22113352
113,22307926
114,22502261
115,22697867
116,22893638
117,23089592
118,23285645
119,23481660
120,23678883
