Tiempo (s),Nodos
1,193797
2,397606
3,603318
4,808169
5,1010719
6,1214979
7,1419051
8,1621894
9,1824786
10,2028929
11,2232693
12,2434024
13,2638355
14,2841928
15,3042183
16,3241392
17,3440297
18,3639137
19,3837886
20,4035474
21,4233069
22,4430094
23,4626898
24,4824821
25,5022311
26,5224949
27,5431841
28,5639383
29,5839926
30,6041261
31,6245608
32,6448191
33,6650554
34,6848398
35,7047898
36,7247147
37,7446976
38,7650682
39,7853799
40,8058665
41,8263448
42,8468323
43,8669475
44,8868345
45,9067871
46,9267337
47,9467846
48,9668386
49,9868074
50,10067864
51,10265911
52,10466138
53,10667275
54,10869492
55,11071681
56,11271081
57,11473037
58,11674344
59,11873002
60,12082957
61,12292831
62,12501923
63,12701589
64,12909850
65,13110229
66,13309882
67,13514783
68,13723476
69,13932581
70,14135600
71,14335458
72,14535149
73,14734487
74,14934373
75,15133866
76,15333226
77,15533814
78,15736213
79,15938772
80,16141654
81,16343760
82,16546744
83,16749752
84,16949237
85,17148738
86,17349116
87,17555988
88,17760033
89,17963652
90,18167101
91,18351472
92,18548551
93,18730741
94,18920576
95,19125526
96,19330211
97,19534418
98,19732728
99,19921126
100,20000001
101,20172336
102,20372875
103,20580546
104,20787747
105,20991729
106,21190740
107,21386610
108,21579005
109,21773703
110,21968960
111,22158982
112,22358386
113,22551426
114,22749871
115,22945074
116,23143917
117,23340026
118,23541044
119,23745500
120,23949040
