Tiempo (s),Factibles,Infactibles (Choques)
1,193662,664
2,397344,1294
3,602929,1934
4,807653,2564
5,1010078,3029
6,1214212,3664
7,1418158,4294
8,1620875,4919
9,1823641,5514
10,2027658,6019
11,2231296,6649
12,2432503,7274
13,2636707,7904
14,2840153,8379
15,3040284,8999
16,3239370,9614
17,3438152,10229
18,3636869,10844
19,3835495,11299
20,4032961,11909
21,4230433,12519
22,4427337,13129
23,4624019,13614
24,4821819,14189
25,5019187,14799
26,5221700,15424
27,5428464,16064
28,5635876,16554
29,5836295,17174
30,6037506,17794
31,6241726,18424
32,6444184,19014
33,6646422,19519
34,6844143,20129
35,7043520,20749
36,7242646,21364
37,7442351,21819
38,7645931,22449
39,7848922,23079
40,8053662,23714
41,8258318,24344
42,8463065,24824
43,8664093,25444
44,8862840,26059
45,9062242,26679
46,9261585,27134
47,9461970,27754
48,9662386,28374
49,9861950,28989
50,10061616,29609
51,10259541,30059
52,10459644,30679
53,10660657,31304
54,10862748,31929
55,11064812,32514
56,11264088,33014
57,11465919,33639
58,11667102,34259
59,11865637,34874
60,12075462,35364
61,12285206,36014
62,12494168,36659
63,12693711,37274
64,12901843,37913
65,13102098,38379
66,13301628,38999
67,13506402,39629
68,13714966,40274
69,13923940,40769
70,14126834,41394
71,14326568,42014
72,14526136,42629
73,14725350,43249
74,14925113,43704
75,15124482,44319
76,15323719,44939
77,15524183,45559
78,15726456,46024
79,15928890,46649
80,16131647,47279
81,16333628,47904
82,16536486,48529
83,16739367,49004
84,16938729,49619
85,17138106,50234
86,17338360,50854
87,17545105,51414
88,17749023,51964
89,17952516,52594
90,18155839,53224
91,18340096,53794
92,18537053,54244
93,18719131,54809
94,18908848,55394
95,19113671,56029
96,19318230,56659
97,19522309,57134
98,19720497,57749
99,19908778,58334
100,19987604,58574
101,20159833,59109
102,20360248,59569
103,20567790,60209
104,20774863,60849
105,20978719,61484
106,21177607,62099
107,21373356,62544
108,21565631,63139
109,21760209,63739
110,21955345,64344
111,22145250,64914
112,22344529,65394
113,22537450,65989
114,22735772,66604
115,22930854,67204
116,23129574,67659
117,23325562,68269
118,23526456,68889
119,23730785,69519
120,23934199,70149
