Instancia,Tiempo_Promedio_s,Beneficio_Maximo,Beneficio_Minimo,Beneficio_Promedio,Desviacion_Estandar
easy,0.001267,9868,8802,9522.60,358.4049
medium1,0.006554,7780,6578,7296.00,469.6154
medium2,0.005375,9820,8786,9167.50,359.2063
hard,0.037505,7458,6888,7186.80,182.9498
