Instancia,Tiempo_Promedio_s,Beneficio_Maximo,Beneficio_Minimo,Beneficio_Promedio,Desviacion_Estandar
easy,0.001490,9868,8802,9522.60,358.4049
medium1,0.005696,7780,6578,7296.00,469.6154
medium2,0.005838,9820,8786,9167.50,359.2063
hard,0.038544,7458,6888,7186.80,182.9498
