Instancia,Tiempo_Promedio_s,Beneficio_Maximo,Beneficio_Minimo,Beneficio_Promedio,Desviacion_Estandar
easy,0.001243,10987,8984,9613.00,571.2390
medium1,0.005182,7316,6578,6907.20,337.7470
medium2,0.005674,10016,8887,9586.60,393.8387
hard,0.035374,7458,6888,7217.10,210.8699
