Tiempo (s),Factibles,Infactibles (Podas FC)
1,205172,570
2,411870,1210
3,618488,1850
4,824658,2490
5,1031551,2955
6,1238444,3595
7,1445513,4235
8,1650886,4870
9,1854878,5370
10,2059958,5960
11,2265839,6595
12,2470802,7230
13,2676017,7865
14,2881605,8330
15,3089111,8975
16,3297665,9620
17,3505307,10260
18,3713067,10740
19,3921631,11375
20,4128606,12015
21,4335256,12655
22,4541851,13295
23,4750393,13765
24,4957224,14405
25,5164230,15045
26,5370259,15680
27,5579037,16155
28,5784075,16790
29,5989463,17425
30,6194277,18060
31,6398229,18690
32,6601972,19145
33,6805931,19780
34,7009871,20410
35,7212661,21035
36,7415690,21490
37,7620115,22120
38,7824455,22755
39,8029696,23390
40,8234762,24025
41,8440587,24490
42,8646721,25125
43,8851706,25760
44,9055215,26390
45,9259119,26850
46,9463745,27480
47,9667916,28110
48,9871691,28740
49,10074956,29370
50,10279070,29825
51,10483132,30460
52,10686878,31090
53,10887024,31710
54,11094627,32220
55,11302019,32820
56,11506310,33455
57,11710589,34085
58,11914213,34715
59,12116443,35165
60,12321748,35800
61,12528484,36440
62,12735892,37085
63,12943114,37590
64,13138813,38155
65,13343340,38785
66,13549958,39425
67,13755128,40060
68,13961500,40530
69,14169201,41170
70,14376493,41815
71,14582144,42450
72,14786427,42960
73,14991235,43540
74,15197037,44175
75,15404011,44815
76,15608465,45450
77,15812442,45905
78,16015940,46535
79,16220759,47170
80,16425274,47800
81,16628977,48330
82,16833337,48895
83,17037065,49525
84,17240366,50155
85,17442791,50780
86,17646648,51235
87,17854796,51880
88,18062132,52520
89,18268648,53160
90,18474167,53700
91,18680716,54260
92,18886960,54895
93,19092819,55535
94,19298171,56170
95,19503149,56635
96,19707958,57265
97,19912001,57900
98,20075922,58405
99,20278108,59030
100,20479419,59480
101,20679956,60100
102,20880858,60720
103,21082360,61345
104,21283599,61790
105,21485564,62415
106,21687774,63040
107,21889378,63665
108,22090792,64290
109,22292054,64740
110,22496968,65375
111,22702337,66010
112,22907412,66645
113,23112791,67125
114,23318820,67740
115,23524713,68380
116,23729821,69015
117,23933129,69645
118,24135489,70095
119,24336930,70715
120,24537831,71340
