Tiempo (s),Nodos
1,205315
2,412140
3,618886
4,825184
5,1032205
6,1239226
7,1446423
8,1651924
9,1856042
10,2061249
11,2267257
12,2472347
13,2677689
14,2883405
15,3091040
16,3299723
17,3507494
18,3715382
19,3924075
20,4131178
21,4337956
22,4544679
23,4753350
24,4960309
25,5167444
26,5373600
27,5582508
28,5787673
29,5993189
30,6198129
31,6402208
32,6606077
33,6810162
34,7014228
35,7217144
36,7420298
37,7624850
38,7829317
39,8034685
40,8239878
41,8445831
42,8652093
43,8857205
44,9060840
45,9264870
46,9469622
47,9673920
48,9877821
49,10081212
50,10285452
51,10489640
52,10693513
53,10893783
54,11101515
55,11309035
56,11513453
57,11717858
58,11921609
59,12123964
60,12329396
61,12536260
62,12743796
63,12951146
64,13146967
65,13351620
66,13558366
67,13763663
68,13970164
69,14177993
70,14385414
71,14591192
72,14795602
73,15000536
74,15206466
75,15413568
76,15618149
77,15822252
78,16025876
79,16230822
80,16435463
81,16639292
82,16843780
83,17047634
84,17251061
85,17453611
86,17657594
87,17865871
88,18073336
89,18279979
90,18485626
91,18692302
92,18898674
93,19104661
94,19310140
95,19515246
96,19720181
97,19924351
98,20088373
99,20290684
100,20492120
101,20692781
102,20893808
103,21095434
104,21296798
105,21498888
106,21701223
107,21902952
108,22104491
109,22305878
110,22510919
111,22716415
112,22921617
113,23127123
114,23333280
115,23539300
116,23744535
117,23947969
118,24150454
119,24352020
120,24553046
