Tiempo (s),Nodos
1,7445
2,15076
3,22785
4,30456
5,38111
6,45570
7,53199
8,60789
9,68462
10,76122
11,83745
12,91401
13,99058
14,106398
15,114040
16,121640
17,129305
18,136963
19,144606
20,152263
21,159825
22,167407
23,175086
24,182784
25,190458
26,198138
27,205865
28,213385
29,221084
30,228795
31,236507
32,244216
33,251924
34,259614
35,267292
36,274982
37,282689
38,290378
39,298080
40,305800
41,313438
42,320995
43,328680
44,336380
45,343960
46,351481
47,359110
48,366837
49,374549
50,382265
51,389912
52,397438
53,405109
54,412748
55,420456
56,428131
57,435833
58,443532
59,451241
60,458448
61,466131
62,473687
63,481428
64,489121
65,496751
66,504322
67,511980
68,519712
69,527391
70,535072
71,542676
72,550305
73,558013
74,565683
75,573368
76,581059
77,588758
78,596460
79,604135
80,611845
81,619526
82,627193
83,634828
84,642480
85,650203
86,657876
87,665588
88,673296
89,681007
90,688580
91,696283
92,703970
93,711658
94,719302
95,727019
96,734750
97,742351
98,750082
99,757765
100,765497
101,773201
102,780885
103,788580
104,796289
105,803967
106,811615
107,819305
108,827019
109,834711
110,842372
111,850063
112,857716
113,865193
114,872889
115,880599
116,888316
117,895953
118,903665
119,911330
120,918879
