Tiempo (s),Factibles,Infactibles (Choques)
1,29390,14311
2,62929,14734
3,96567,15273
4,130395,15774
5,164382,16311
6,197999,16983
7,232143,17598
8,266004,18361
9,299340,19054
10,333419,19783
11,367065,20679
12,401325,21486
13,435154,22473
14,468955,23358
15,502930,24436
16,536527,25399
17,570601,26398
18,604167,27609
19,638142,28683
20,671700,29943
21,705622,31023
22,738952,32283
23,772770,33363
24,806815,34623
25,840615,35703
26,874348,36963
27,907917,38043
28,941644,39123
29,975230,40383
30,1009116,41463
31,1042727,42723
32,1077166,43803
33,1110590,45063
34,1144692,46143
35,1177969,47403
36,1211522,48483
37,1245137,49743
38,1278413,50823
39,1312227,51903
40,1345835,53163
41,1379949,54243
42,1413391,55503
43,1447253,56583
44,1480947,57843
45,1515157,58923
46,1548751,60183
47,1582425,61263
48,1616294,62523
49,1649977,63603
50,1683787,64683
51,1717699,65943
52,1751622,67023
53,1785054,68283
54,1819286,69363
55,1853186,70623
56,1887653,71883
57,1921569,72963
58,1955456,74223
59,1989116,75303
60,2023427,76563
61,2057550,77643
62,2091736,78903
63,2125849,79983
64,2159659,81243
65,2194870,82323
66,2229916,83583
67,2264695,84843
68,2298773,85923
69,2332481,87183
70,2366581,88263
71,2400879,89523
72,2436063,90783
73,2471044,91863
74,2505841,93123
75,2540959,94383
76,2576051,95463
77,2610874,96723
78,2645812,97983
79,2681025,99063
80,2715831,100323
81,2750668,101583
82,2785921,102663
83,2820803,103923
84,2855620,105183
85,2890703,106443
86,2925761,107523
87,2960553,108783
88,2995555,110043
89,3030672,111123
90,3065500,112383
91,3100396,113643
92,3135612,114723
93,3170373,115983
94,3205097,117243
95,3240461,118323
96,3275638,119583
97,3310690,120843
98,3345816,122103
99,3381166,123183
100,3416157,124443
101,3451100,125703
102,3486273,126963
103,3521550,128043
104,3556057,129303
105,3590755,130563
106,3625261,131643
107,3660034,132903
108,3695047,134163
109,3730205,135243
110,3765234,136503
111,3800292,137763
112,3835717,138843
113,3870789,140103
114,3905775,141363
115,3940911,142623
116,3976196,143703
117,4011127,144963
118,4046126,146223
119,4081470,147303
120,4116656,148563
