Tiempo (s),Nodos
1,29496
2,63041
3,96686
4,130520
5,164513
6,198137
7,232287
8,266155
9,299497
10,333582
11,367235
12,401501
13,435337
14,469144
15,503126
16,536729
17,570809
18,604382
19,638363
20,671928
21,705856
22,739193
23,773017
24,807069
25,840875
26,874615
27,908190
28,941923
29,975516
30,1009408
31,1043026
32,1077471
33,1110902
34,1145010
35,1178294
36,1211853
37,1245475
38,1278757
39,1312577
40,1346192
41,1380312
42,1413761
43,1447629
44,1481330
45,1515546
46,1549147
47,1582827
48,1616703
49,1650392
50,1684209
51,1718127
52,1752057
53,1785495
54,1819733
55,1853640
56,1888114
57,1922036
58,1955930
59,1989596
60,2023914
61,2058043
62,2092236
63,2126355
64,2160172
65,2195389
66,2230442
67,2265228
68,2299312
69,2333027
70,2367133
71,2401438
72,2436629
73,2471616
74,2506420
75,2541545
76,2576643
77,2611473
78,2646418
79,2681637
80,2716450
81,2751294
82,2786554
83,2821442
84,2856266
85,2891356
86,2926420
87,2961219
88,2996228
89,3031351
90,3066186
91,3101089
92,3136312
93,3171079
94,3205810
95,3241181
96,3276364
97,3311423
98,3346556
99,3381913
100,3416910
101,3451860
102,3487040
103,3522323
104,3556837
105,3591542
106,3626054
107,3660834
108,3695854
109,3731018
110,3766054
111,3801119
112,3836551
113,3871629
114,3906622
115,3941765
116,3977056
117,4011994
118,4047000
119,4082351
120,4117543
