Tiempo (s),Mejor Costo
9,32153
9,32152
9,32151
9,32150
9,32148
9,32146
9,32144
10,32144
10,32143
10,32141
10,32139
10,32137
10,32135
10,32134
10,32132
11,32132
11,32130
11,32128
11,32126
11,32125
11,32123
11,32121
12,32121
12,32119
12,32118
12,32117
12,32116
12,32114
12,32112
12,32110
12,32109
13,32109
13,32108
13,32107
13,32105
13,32103
13,32101
13,32100
13,32098
14,32098
14,32096
14,32094
14,32092
14,32091
14,32089
14,32087
15,32087
15,32085
15,32084
15,32083
15,32082
15,32080
15,32078
15,32076
15,32075
16,32075
16,32074
16,32073
16,32071
16,32069
16,32067
16,32066
16,32064
17,32064
17,32062
17,32060
17,32058
17,32057
17,32055
17,32053
17,32051
18,32051
18,32050
18,32049
18,32048
18,32046
18,32044
18,32042
18,32041
19,32041
19,32040
19,32039
19,32037
19,32035
19,32033
19,32032
19,32030
19,32028
20,32028
20,32026
20,32024
20,32023
20,32021
20,32019
20,32017
21,32017
21,32015
21,32014
21,32012
21,32010
21,32008
21,32007
21,32006
21,32005
22,32005
22,32003
22,32001
22,31999
22,31998
22,31996
22,31994
23,31994
23,31992
23,31990
23,31989
23,31987
23,31985
23,31983
23,31981
24,31981
24,31980
24,31978
24,31976
24,31974
24,31973
24,31972
24,31971
25,31971
25,31969
25,31967
25,31965
25,31964
25,31962
25,31960
25,31958
26,31958
26,31956
26,31955
26,31953
26,31951
26,31949
26,31947
27,31947
27,31946
27,31944
27,31942
27,31940
27,31939
27,31938
27,31937
28,31937
28,31935
28,31933
28,31931
28,31930
28,31929
28,31928
28,31926
28,31924
29,31924
29,31922
29,31921
29,31919
29,31917
29,31915
29,31913
30,31913
30,31912
30,31910
30,31908
30,31906
30,31905
30,31904
30,31903
30,31901
31,31901
31,31899
31,31897
31,31896
31,31895
31,31894
31,31892
31,31890
32,31890
32,31888
32,31887
32,31885
32,31883
32,31881
32,31879
32,31878
33,31878
33,31876
33,31874
33,31872
33,31871
33,31870
33,31869
33,31867
34,31867
34,31865
34,31863
34,31862
34,31861
34,31860
34,31858
34,31856
34,31854
35,31854
35,31853
35,31851
35,31849
35,31847
35,31845
35,31844
36,31844
36,31842
36,31840
36,31838
36,31836
36,31835
36,31833
36,31831
37,31831
37,31829
37,31828
37,31827
37,31826
37,31824
37,31822
37,31820
38,31820
38,31819
38,31817
38,31815
38,31813
38,31811
38,31810
39,31810
39,31808
39,31806
39,31804
39,31802
39,31801
39,31799
39,31797
40,31797
40,31795
40,31794
40,31793
40,31792
40,31790
40,31788
40,31786
41,31786
41,31785
41,31783
41,31781
41,31779
41,31777
41,31776
41,31774
42,31774
42,31772
42,31770
42,31768
42,31767
42,31765
42,31763
43,31763
43,31761
43,31760
43,31759
43,31758
43,31756
43,31754
43,31752
43,31751
44,31751
44,31750
44,31749
44,31747
44,31745
44,31743
44,31742
44,31740
45,31740
45,31738
45,31736
45,31734
45,31733
45,31731
45,31729
45,31727
46,31727
46,31726
46,31725
46,31724
46,31722
46,31720
46,31718
46,31717
47,31717
47,31716
47,31715
47,31713
47,31711
47,31709
47,31708
47,31707
47,31706
48,31706
48,31704
48,31702
48,31700
48,31699
48,31697
48,31695
48,31693
49,31693
49,31692
49,31691
49,31690
49,31688
49,31686
49,31684
49,31683
50,31683
50,31682
50,31681
50,31679
50,31677
50,31675
50,31674
50,31672
50,31670
51,31670
51,31668
51,31666
51,31665
51,31663
51,31661
51,31659
52,31659
52,31657
52,31656
52,31654
52,31652
52,31650
53,31650
54,31650
55,31650
56,31650
57,31650
58,31650
59,31650
60,31650
61,31650
62,31650
63,31650
64,31650
65,31650
66,31650
67,31650
68,31650
69,31650
70,31650
71,31650
72,31650
73,31650
74,31650
75,31650
76,31650
77,31650
78,31650
79,31650
80,31650
81,31650
82,31650
83,31650
84,31650
85,31650
86,31650
87,31650
88,31650
89,31650
90,31650
91,31650
92,31650
93,31650
94,31650
95,31650
96,31650
97,31650
98,31650
99,31650
100,31650
101,31650
102,31650
103,31650
104,31650
105,31650
106,31650
107,31650
108,31650
109,31650
110,31650
111,31650
112,31650
113,31650
114,31650
115,31650
116,31650
117,31650
118,31650
119,31650
120,31650
