Tiempo (s),Nodos
1,29156
2,63114
3,96921
4,130747
5,164884
6,197451
7,231226
8,265006
9,298769
10,332927
11,366948
12,400739
13,434762
14,467327
15,500896
16,534924
17,568761
18,602635
19,635982
20,669649
21,703393
22,737383
23,770786
24,804479
25,837385
26,871062
27,904724
28,938358
29,972673
30,1006301
31,1040090
32,1073363
33,1106437
34,1139632
35,1173121
36,1207230
37,1240710
38,1274041
39,1306433
40,1339839
41,1373442
42,1406693
43,1440153
44,1473472
45,1507082
46,1540328
47,1573837
48,1607132
49,1640643
50,1674276
51,1707031
52,1741074
53,1774429
54,1808377
55,1841886
56,1875453
57,1908998
58,1942372
59,1975601
60,2009058
61,2042886
62,2076198
63,2110168
64,2144687
65,2179314
66,2212793
67,2246467
68,2281368
69,2316598
70,2351880
71,2386908
72,2422042
73,2457315
74,2492505
75,2526492
76,2560520
77,2594216
78,2628311
79,2662735
80,2697937
81,2733045
82,2767958
83,2803037
84,2837212
85,2872433
86,2907741
87,2943307
88,2978603
89,3013205
90,3047422
91,3081068
92,3115232
93,3147957
94,3181250
95,3215199
96,3249457
97,3282942
98,3316557
99,3351350
100,3386295
101,3421059
102,3455993
103,3491088
104,3524941
105,3559013
106,3592646
107,3626798
108,3660387
109,3694065
110,3728184
111,3762383
112,3795790
113,3829493
114,3863054
115,3896544
116,3930324
117,3963574
118,3997325
119,4031056
120,4065265
