Tiempo (s),Factibles,Infactibles (Choques)
1,29050,14311
2,63002,14734
3,96802,15273
4,130622,15774
5,164753,16311
6,197313,16983
7,231082,17598
8,264856,18249
9,298612,19054
10,332764,19783
11,366778,20679
12,400563,21486
13,434580,22329
14,467138,23358
15,500701,24279
16,534722,25399
17,568553,26398
18,602421,27433
19,635761,28683
20,669422,29763
21,703159,31023
22,737143,32103
23,770539,33363
24,804226,34443
25,837126,35523
26,870796,36783
27,904452,37863
28,938079,39123
29,972388,40203
30,1006009,41463
31,1039792,42543
32,1073058,43803
33,1106126,44883
34,1139315,45963
35,1172797,47223
36,1206900,48303
37,1240373,49563
38,1273698,50643
39,1306084,51723
40,1339483,52983
41,1373080,54063
42,1406325,55143
43,1439778,56403
44,1473091,57483
45,1506694,58743
46,1539934,59823
47,1573437,60903
48,1606725,62163
49,1640230,63243
50,1673856,64503
51,1706605,65583
52,1740642,66663
53,1773990,67923
54,1807932,69003
55,1841434,70263
56,1874995,71343
57,1908533,72603
58,1941901,73683
59,1975124,74763
60,2008574,76023
61,2042396,77103
62,2075701,78363
63,2109665,79443
64,2144177,80703
65,2178798,81783
66,2212270,83043
67,2245938,84123
68,2280832,85383
69,2316055,86643
70,2351331,87723
71,2386352,88983
72,2421479,90243
73,2456745,91323
74,2491929,92583
75,2525909,93843
76,2559931,94923
77,2593620,96183
78,2627709,97263
79,2662126,98523
80,2697321,99783
81,2732423,100863
82,2767329,102123
83,2802401,103383
84,2836570,104463
85,2871784,105723
86,2907085,106983
87,2942644,108063
88,2977934,109323
89,3012529,110583
90,3046740,111663
91,3080379,112923
92,3114537,114003
93,3147255,115263
94,3180542,116343
95,3214484,117603
96,3248736,118683
97,3282214,119763
98,3315823,121023
99,3350609,122283
100,3385548,123363
101,3420305,124623
102,3455232,125883
103,3490321,126963
104,3524167,128223
105,3558233,129303
106,3591859,130563
107,3626005,131643
108,3659587,132903
109,3693259,133983
110,3727371,135243
111,3761564,136323
112,3794964,137583
113,3828661,138663
114,3862215,139923
115,3895699,141003
116,3929473,142083
117,3962716,143343
118,3996461,144423
119,4030185,145683
120,4064388,146763
