Instancia;N_Ejecuciones;Mejor_Beneficio_Global;Media_Beneficio;Min_Beneficio;Desv_Est_Beneficio;Media_Tiempo(s);Media_Factibles;Media_Infactibles
INST05;5;16637.0;16547.0;16455.0;66.1021936095921;56.806579732894896;44008.8;5991.2
INST07;5;15985.0;15944.0;15916.0;27.340446228984632;138.38818039894105;14879.6;35120.4
INST09;5;17281.0;17241.6;17182.0;40.09114615473097;71.5795217514038;38749.8;11250.2
INST11;5;18957.0;18925.0;18890.0;25.709920264364882;106.30312857627868;28965.2;21034.8
INST13;5;20840.0;20804.0;20777.0;26.73013280924732;88.97337646484375;48410.2;1589.8
