Tiempo (s),Factibles,Infactibles (Podas FC)
1,0,0
2,139,0
3,318,0
4,530,0
5,744,0
6,957,0
7,1163,0
8,1367,0
9,1576,0
10,1785,0
11,1982,0
12,2182,0
13,2392,0
14,2593,0
15,2804,0
16,3006,0
17,3202,0
18,3409,0
19,3615,0
20,3822,0
21,4036,0
22,4252,0
23,4467,0
24,4683,0
25,4886,0
26,5098,0
27,5312,0
28,5497,0
29,5707,0
30,5918,0
31,6130,0
32,6337,0
33,6549,0
34,6759,0
35,6972,0
36,7183,0
37,7396,0
38,7596,0
39,7788,0
40,8001,0
41,8191,0
42,8391,0
43,8587,0
44,8788,0
45,8995,0
46,9194,0
47,9378,0
48,9561,0
49,9754,0
50,9929,0
51,10107,0
52,10294,0
53,10490,0
54,10689,0
55,10887,0
56,11069,0
57,11250,0
58,11442,0
59,11647,0
60,11837,0
61,12032,0
62,12235,0
63,12435,0
64,12631,0
65,12831,0
66,13014,0
67,13207,0
68,13399,0
69,13591,0
70,13798,0
71,14007,0
72,14218,0
73,14426,0
74,14637,0
75,14845,0
76,15053,0
77,15261,0
78,15468,0
79,15678,0
80,15887,0
81,16095,0
82,16299,0
83,16505,0
84,16714,0
85,16925,0
86,17133,0
87,17344,0
88,17554,0
89,17764,0
90,17973,0
91,18185,0
92,18398,0
93,18608,0
94,18819,0
95,19031,0
96,19243,0
97,19453,0
98,19666,0
99,19877,0
100,20089,0
101,20295,0
102,20508,0
103,20719,0
104,20932,0
105,21146,0
106,21358,0
107,21568,0
108,21774,0
109,21985,0
110,22190,0
111,22402,0
112,22611,0
113,22820,0
114,23029,0
115,23240,0
116,23450,0
117,23659,0
118,23871,0
119,24080,0
120,24292,0
