Tiempo (s),Nodos
1,83
2,240
3,419
4,631
5,845
6,1058
7,1264
8,1468
9,1677
10,1886
11,2083
12,2283
13,2493
14,2694
15,2905
16,3107
17,3303
18,3510
19,3716
20,3923
21,4137
22,4353
23,4568
24,4784
25,4987
26,5199
27,5413
28,5599
29,5809
30,6020
31,6232
32,6439
33,6651
34,6861
35,7074
36,7285
37,7498
38,7698
39,7890
40,8103
41,8293
42,8493
43,8689
44,8890
45,9097
46,9296
47,9480
48,9663
49,9856
50,10031
51,10209
52,10396
53,10592
54,10792
55,10990
56,11172
57,11353
58,11545
59,11750
60,11940
61,12135
62,12338
63,12538
64,12734
65,12934
66,13117
67,13310
68,13502
69,13694
70,13901
71,14110
72,14321
73,14529
74,14740
75,14948
76,15156
77,15364
78,15571
79,15781
80,15990
81,16199
82,16403
83,16609
84,16818
85,17029
86,17237
87,17448
88,17658
89,17868
90,18077
91,18289
92,18502
93,18712
94,18923
95,19135
96,19347
97,19557
98,19770
99,19981
100,20193
101,20399
102,20612
103,20823
104,21036
105,21250
106,21462
107,21673
108,21879
109,22090
110,22295
111,22507
112,22716
113,22925
114,23134
115,23345
116,23555
117,23764
118,23976
119,24185
120,24397
