Tiempo (s),Nodos
1,144648
2,297271
3,440023
4,585685
5,737957
6,894493
7,1023413
8,1176938
9,1330659
10,1483549
11,1637722
12,1791367
13,1944826
14,2098590
15,2254332
16,2410018
17,2564611
18,2718701
19,2872715
20,3026516
21,3175533
22,3328822
23,3481875
24,3635275
25,3788654
26,3941943
27,4095693
28,4249697
29,4403696
30,4559996
31,4718491
32,4875612
33,5032783
34,5185635
35,5336969
36,5491895
37,5645558
38,5799797
39,5954345
40,6108367
41,6262597
42,6415890
43,6569882
44,6723034
45,6875597
46,7028800
47,7182779
48,7336459
49,7490193
50,7643396
51,7796368
52,7949429
53,8102636
54,8255751
55,8408502
56,8561824
57,8715611
58,8869594
59,9023562
60,9177876
61,9331902
62,9485243
63,9639878
64,9797794
65,9953119
66,10106444
67,10260399
68,10412856
69,10566776
70,10720349
71,10874312
72,11028580
73,11182896
74,11337126
75,11491379
76,11644805
77,11797544
78,11950051
79,12103298
80,12257061
81,12410702
82,12564300
83,12717913
84,12871793
85,13025441
86,13178459
87,13332797
88,13493087
89,13641448
90,13797694
91,13954043
92,14108173
93,14261383
94,14414634
95,14564947
96,14717921
97,14870505
98,15023322
99,15177554
100,15333326
101,15490982
102,15646563
103,15801221
104,15952904
105,16108914
106,16262513
107,16414830
108,16568232
109,16722216
110,16876215
111,17030056
112,17183713
113,17337201
114,17489226
115,17643692
116,17795961
117,17950378
118,18106805
119,18266957
120,18427181
