Tiempo (s),Factibles,Infactibles (Choques)
1,144554,359
2,297100,744
3,439779,1109
4,585367,1479
5,737562,1864
6,894019,2259
7,1022873,2589
8,1176320,2769
9,1329963,3159
10,1482776,3549
11,1636870,3939
12,1790437,4329
13,1943818,4719
14,2097504,5109
15,2253167,5299
16,2408774,5694
17,2563289,6084
18,2717301,6474
19,2871237,6869
20,3024960,7259
21,3173901,7634
22,3327111,7830
23,3480086,8209
24,3633409,8599
25,3786710,8989
26,3939921,9379
27,4093593,9769
28,4247519,10159
29,4401440,10374
30,4557660,10739
31,4716075,11144
32,4873116,11539
33,5030207,11939
34,5182982,12329
35,5334239,12714
36,5489086,12919
37,5642671,13289
38,5796832,13679
39,5951302,14074
40,6105245,14464
41,6259397,14854
42,6412612,15244
43,6566525,15464
44,6719600,15819
45,6872085,16209
46,7025210,16599
47,7179111,16989
48,7332713,17379
49,7486369,17769
50,7639494,18009
51,7792389,18339
52,7945372,18724
53,8098501,19114
54,8251539,19504
55,8404212,19889
56,8557456,20279
57,8711165,20554
58,8865070,20854
59,9018960,21244
60,9173196,21639
61,9327143,22029
62,9480407,22419
63,9634963,22809
64,9792798,23099
65,9948044,23404
66,10101291,23794
67,10255168,24184
68,10407548,24569
69,10561390,24959
70,10714885,25349
71,10868770,25644
72,11022959,25924
73,11177197,26319
74,11331349,26709
75,11485523,27099
76,11638872,27489
77,11791533,27874
78,11943963,28189
79,12097132,28444
80,12250817,28834
81,12404380,29224
82,12557900,29614
83,12711435,30004
84,12865237,30394
85,13018806,30734
86,13171746,30974
87,13326006,31364
88,13486215,31769
89,13634500,32149
90,13790667,32544
91,13946937,32939
92,14100988,33279
93,14254121,33514
94,14407294,33904
95,14557531,34284
96,14710427,34674
97,14862933,35059
98,15015673,35449
99,15169827,35824
100,15325520,36029
101,15483096,36429
102,15638598,36824
103,15793177,37214
104,15944783,37599
105,16100714,37994
106,16254234,38369
107,16406474,38569
108,16559798,38959
109,16713704,39349
110,16867625,39739
111,17021387,40129
112,17174966,40519
113,17328377,40909
114,17480325,41089
115,17634712,41484
116,17786904,41869
117,17941242,42259
118,18097590,42654
119,18257661,43064
120,18417803,43459
