Tiempo (s),Nodos
1,83
2,228
3,372
4,538
5,744
6,953
7,1145
8,1319
9,1525
10,1738
11,1942
12,2146
13,2359
14,2568
15,2780
16,2992
17,3205
18,3413
19,3626
20,3839
21,4053
22,4265
23,4479
24,4692
25,4902
26,5116
27,5322
28,5533
29,5739
30,5948
31,6155
32,6364
33,6559
34,6749
35,6936
36,7128
37,7327
38,7528
39,7740
40,7943
41,8140
42,8329
43,8530
44,8727
45,8935
46,9143
47,9353
48,9561
49,9759
50,9960
51,10152
52,10350
53,10552
54,10758
55,10959
56,11168
57,11375
58,11580
59,11785
60,11990
61,12195
62,12392
63,12599
64,12808
65,13012
66,13203
67,13401
68,13599
69,13804
70,13996
71,14182
72,14371
73,14570
74,14768
75,14976
76,15183
77,15394
78,15605
79,15817
80,16030
81,16238
82,16442
83,16640
84,16837
85,17037
86,17239
87,17444
88,17643
89,17848
90,18056
91,18263
92,18472
93,18680
94,18874
95,19076
96,19270
97,19468
98,19671
99,19875
100,20077
101,20282
102,20482
103,20679
104,20882
105,21085
106,21283
107,21484
108,21689
109,21890
110,22089
111,22290
112,22492
113,22698
114,22903
115,23110
116,23318
117,23519
118,23725
119,23933
120,24136
