Tiempo (s),Factibles,Infactibles (Choques)
1,69385,27518
2,142113,42962
3,213658,72447
4,286321,87891
5,357027,119983
6,428944,139673
7,503286,160022
8,573976,185052
9,645828,204588
10,715424,235644
11,787669,253053
12,857998,276303
13,928507,297925
14,998212,320068
15,1055267,346005
16,1127141,363510
17,1197811,386760
18,1267323,408644
19,1339596,431513
20,1410714,463095
21,1484826,478720
22,1555407,507752
23,1628112,524711
24,1698378,553400
25,1769354,580757
26,1842022,595606
27,1912912,627070
28,1985806,642104
29,2055476,674852
30,2127215,695142
31,2199086,714683
32,2269596,741537
33,2341516,761118
34,2410984,793146
35,2483265,810895
36,2554045,835660
37,2626501,857713
38,2698389,883388
39,2769148,915280
40,2843092,929680
41,2912712,962524
42,2988245,977497
43,3058201,1011195
44,3130486,1032230
45,3203001,1051567
46,3273851,1079615
47,3346064,1099196
48,3415805,1132093
49,3488418,1149995
50,3559430,1176053
51,3631137,1197636
52,3702125,1224027
53,3771669,1255842
54,3844439,1269943
55,3913466,1303467
56,3986288,1317698
57,4055302,1351796
58,4126921,1372839
59,4198861,1392354
60,4269000,1420915
61,4340843,1440583
62,4410060,1473925
63,4482278,1491911
64,4552560,1518087
65,4623235,1540103
66,4693233,1566212
67,4762013,1598243
68,4834220,1612754
69,4902921,1646550
70,4975332,1661265
71,5044285,1695378
72,5115800,1716857
73,5187308,1737170
74,5257139,1765726
75,5327471,1785706
76,5397633,1819863
77,5470954,1837933
78,5541465,1866643
79,5613217,1887407
80,5683283,1916513
81,5753466,1945528
82,5825985,1962664
83,5895044,1994966
84,5969258,2013170
85,6038737,2047890
86,6111163,2067182
87,6181721,2092774
88,6251972,2116904
89,6323328,2143359
90,6393192,2176665
91,6465649,2192109
92,6535268,2226665
93,6608042,2242845
94,6677066,2278083
95,6748937,2298342
96,6820145,2322093
97,6890343,2348746
98,6961376,2373130
99,7030599,2407382
100,7103524,2423773
101,7172776,2458342
102,7245564,2474968
103,7314575,2510821
104,7386617,2531804
105,7458167,2554849
106,7528615,2582870
107,7599777,2606621
108,7668817,2641481
109,7741413,2658254
110,7809709,2691811
111,7883229,2710134
112,7951538,2745069
113,8023252,2767170
114,8094604,2790248
115,8164733,2818821
116,8235742,2842698
117,8303496,2877143
118,8376026,2894413
119,8444585,2928424
120,8516604,2946537
