Tiempo (s),Nodos
1,69550
2,142395
3,214074
4,286854
5,357698
6,429736
7,504204
8,575021
9,646995
10,716725
11,789089
12,859542
13,930174
14,1000001
15,1057167
16,1129159
17,1199954
18,1269588
19,1341987
20,1413242
21,1487473
22,1558187
23,1631011
24,1701408
25,1772515
26,1845300
27,1916326
28,1989336
29,2059143
30,2131004
31,2202997
32,2273636
33,2345678
34,2415281
35,2487682
36,2558589
37,2631170
38,2703188
39,2774084
40,2848145
41,2917901
42,2993554
43,3063649
44,3136058
45,3208695
46,3279676
47,3352011
48,3421889
49,3494622
50,3565763
51,3637594
52,3708711
53,3778391
54,3851276
55,3920439
56,3993377
57,4062529
58,4134271
59,4206332
60,4276602
61,4348567
62,4417921
63,4490259
64,4560669
65,4631467
66,4701592
67,4770507
68,4842829
69,4911666
70,4984193
71,5053283
72,5124922
73,5196552
74,5266514
75,5336966
76,5407267
77,5480709
78,5551352
79,5623227
80,5693425
81,5763740
82,5836378
83,5905572
84,5979909
85,6049527
86,6122075
87,6192760
88,6263137
89,6334623
90,6404624
91,6477198
92,6546955
93,6619848
94,6689011
95,6761004
96,6832338
97,6902665
98,6973825
99,7043186
100,7116229
101,7185619
102,7258526
103,7327677
104,7399843
105,7471518
106,7542097
107,7613385
108,7682564
109,7755278
110,7823710
111,7897352
112,7965798
113,8037637
114,8109115
115,8179375
116,8250510
117,8318400
118,8391049
119,8459745
120,8531883
