Tiempo (s),Factibles,Infactibles (Choques)
1,29747,14311
2,63395,14734
3,97091,15273
4,124226,15688
5,158296,16219
6,191924,16884
7,225368,17493
8,259398,18138
9,293109,18936
10,326946,19659
11,360734,20418
12,393708,21349
13,427556,22186
14,461341,23208
15,494931,24123
16,528540,25074
17,562445,26229
18,596285,27258
19,629870,28503
20,663879,29583
21,697132,30843
22,730340,31923
23,764332,33003
24,796534,34263
25,829702,35343
26,863241,36423
27,896831,37683
28,930591,38763
29,963883,40023
30,997589,41103
31,1031004,42363
32,1064556,43443
33,1098272,44523
34,1131857,45783
35,1165595,46863
36,1198800,48123
37,1232205,49203
38,1265993,50463
39,1299360,51543
40,1333361,52623
41,1366626,53883
42,1400031,54963
43,1433622,56223
44,1466907,57303
45,1500839,58383
46,1533745,59643
47,1567583,60723
48,1600694,61983
49,1633868,63063
50,1668069,64143
51,1700629,65403
52,1734379,66483
53,1768030,67743
54,1802077,68823
55,1835986,70083
56,1870163,71163
57,1904054,72423
58,1938142,73503
59,1972139,74763
60,2006049,75843
61,2039601,77103
62,2072597,78183
63,2106681,79263
64,2140314,80523
65,2174628,81603
66,2208483,82863
67,2242667,83943
68,2276315,85203
69,2310417,86283
70,2343417,87543
71,2377612,88623
72,2411237,89883
73,2445537,90963
74,2479149,92223
75,2513347,93303
76,2547072,94563
77,2581271,95643
78,2615034,96903
79,2649261,97983
80,2682745,99243
81,2717098,100323
82,2750643,101583
83,2785036,102663
84,2818907,103923
85,2852951,105003
86,2886816,106263
87,2921055,107343
88,2954813,108603
89,2989028,109683
90,3022664,110943
91,3056859,112023
92,3090366,113283
93,3124678,114363
94,3158165,115623
95,3192215,116703
96,3225942,117963
97,3260016,119043
98,3293726,120303
99,3327979,121383
100,3361298,122643
101,3395281,123723
102,3429198,124983
103,3463059,126063
104,3496829,127323
105,3530757,128403
106,3564799,129663
107,3598780,130743
108,3632593,132003
109,3666667,133083
110,3700402,134343
111,3734187,135423
112,3768046,136503
113,3801520,137763
114,3835331,138843
115,3869096,140103
116,3903042,141183
117,3936845,142443
118,3971087,143523
119,4004865,144783
120,4039144,145863
