Tiempo (s),Nodos
1,29853
2,63507
3,97210
4,124350
5,158426
6,192061
7,225511
8,259547
9,293265
10,327108
11,360902
12,393883
13,427737
14,461529
15,495125
16,528740
17,562652
18,596498
19,630090
20,664105
21,697365
22,730579
23,764577
24,796786
25,829960
26,863505
27,897102
28,930868
29,964167
30,997879
31,1031301
32,1064859
33,1098581
34,1132173
35,1165917
36,1199129
37,1232540
38,1266335
39,1299708
40,1333715
41,1366987
42,1400398
43,1433996
44,1467287
45,1501226
46,1534138
47,1567982
48,1601100
49,1634280
50,1668488
51,1701054
52,1734810
53,1768468
54,1802521
55,1836437
56,1870620
57,1904518
58,1938612
59,1972616
60,2006532
61,2040091
62,2073093
63,2107184
64,2140823
65,2175144
66,2209005
67,2243196
68,2276850
69,2310959
70,2343965
71,2378166
72,2411798
73,2446104
74,2479723
75,2513927
76,2547659
77,2581864
78,2615634
79,2649867
80,2683358
81,2717717
82,2751269
83,2785668
84,2819546
85,2853596
86,2887468
87,2921713
88,2955478
89,2989699
90,3023342
91,3057543
92,3091057
93,3125375
94,3158869
95,3192925
96,3226659
97,3260739
98,3294456
99,3328715
100,3362041
101,3396030
102,3429954
103,3463821
104,3497598
105,3531532
106,3565581
107,3599568
108,3633388
109,3667468
110,3701210
111,3735001
112,3768867
113,3802347
114,3836164
115,3869936
116,3903888
117,3937698
118,3971946
119,4005731
120,4040016
