Tiempo (s),Nodos
1,69840
2,142401
3,214658
4,290106
5,366313
6,441182
7,515582
8,589748
9,663547
10,737670
11,810584
12,885458
13,957818
14,1032877
15,1105489
16,1181315
17,1253542
18,1328251
19,1400345
20,1473844
21,1543468
22,1616322
23,1690748
24,1763139
25,1838868
26,1913767
27,1990891
28,2064309
29,2140964
30,2215128
31,2291690
32,2365063
33,2441477
34,2515682
35,2594439
36,2669500
37,2748401
38,2824377
39,2903097
40,2976288
41,3053605
42,3128603
43,3205595
44,3278842
45,3353470
46,3427201
47,3502789
48,3571970
49,3644957
50,3722625
51,3797516
52,3874028
53,3950707
54,4027342
55,4100400
56,4176716
57,4250116
58,4325599
59,4399875
60,4477989
61,4553473
62,4632599
63,4707836
64,4786624
65,4860151
66,4937326
67,5013517
68,5093158
69,5169199
70,5246209
71,5317894
72,5393182
73,5467746
74,5545431
75,5621658
76,5700670
77,5775516
78,5853155
79,5926018
80,6000519
81,6074176
82,6148411
83,6221769
84,6295516
85,6369745
86,6445435
87,6521451
88,6595068
89,6663917
90,6740222
91,6818703
92,6892484
93,6967143
94,7042851
95,7119797
96,7192465
97,7269256
98,7343305
99,7419934
100,7495615
101,7574646
102,7649150
103,7726229
104,7800464
105,7876690
106,7949906
107,8026804
108,8098556
109,8173905
110,8246160
111,8320986
112,8395135
113,8471295
114,8542570
115,8618009
116,8693244
117,8771001
118,8845957
119,8921421
120,8997229
