Tiempo (s),Factibles,Infactibles (Choques)
1,69696,5898
2,142135,25479
3,214283,35404
4,289608,52624
5,365696,66113
6,440445,81653
7,514726,96785
8,588775,110474
9,662454,127439
10,736463,138852
11,809255,158230
12,884017,167694
13,956251,189353
14,1031200,197328
15,1103685,220581
16,1179402,226791
17,1251505,248541
18,1326104,256415
19,1398078,274955
20,1471463,286565
21,1540974,302046
22,1613713,316353
23,1688022,329925
24,1760294,346936
25,1835908,358478
26,1910680,378114
27,1987687,389229
28,2060981,409148
29,2137522,418553
30,2211559,440318
31,2288009,448326
32,2361253,471623
33,2437556,478949
34,2511630,502943
35,2590274,509384
36,2665205,532833
37,2743991,540096
38,2819837,562521
39,2898439,571789
40,2971504,593650
41,3048708,601910
42,3123579,622259
43,3200456,632439
44,3273581,650589
45,3348093,663198
46,3421703,680501
47,3497173,693585
48,3566244,707280
49,3639113,723626
50,3716661,736406
51,3791427,755076
52,3867821,767761
53,3944374,786136
54,4020891,797836
55,4093827,817085
56,4170029,827090
57,4243302,848404
58,4318672,858009
59,4392821,879526
60,4470820,888151
61,4546174,910803
62,4625184,918749
63,4700289,942241
64,4778961,950999
65,4852361,973508
66,4929424,980844
67,5005482,1004841
68,5085008,1011741
69,5160915,1036235
70,5237813,1043795
71,5309371,1067544
72,5384552,1073215
73,5458988,1094805
74,5536558,1103672
75,5612657,1124344
76,5691548,1136018
77,5766265,1158206
78,5843790,1166565
79,5916530,1186146
80,5990919,1196393
81,6064455,1213696
82,6138572,1227786
83,6211810,1245006
84,6285442,1257886
85,6359553,1272880
86,6435122,1288590
87,6511019,1302101
88,6584513,1320118
89,6653255,1332209
90,6729435,1350543
91,6807795,1362603
92,6881453,1381626
93,6956000,1391538
94,7031578,1413124
95,7108407,1424473
96,7180953,1444109
97,7257629,1453628
98,7331551,1475269
99,7408068,1483389
100,7483617,1506729
101,7562530,1516700
102,7636907,1537969
103,7713872,1546690
104,7787978,1569209
105,7864094,1576535
106,7937181,1600279
107,8013965,1608795
108,8085591,1631795
109,8160832,1638113
110,8232962,1659751
111,8307678,1667720
112,8381703,1687250
113,8457744,1699965
114,8528898,1720051
115,8604224,1729603
116,8679335,1748353
117,8756973,1760390
118,8831806,1777653
119,8907150,1792468
120,8982831,1812026
