Tiempo (s),Factibles,Infactibles (Podas FC)
1,159668,185
2,322529,600
3,486482,1015
4,650069,1430
5,813224,1845
6,976635,2260
7,1139648,2530
8,1302024,2865
9,1463438,3275
10,1625455,3685
11,1784693,4090
12,1946164,4500
13,2108621,4915
14,2271388,5105
15,2434855,5520
16,2598204,5935
17,2761456,6350
18,2923253,6760
19,3085622,7170
20,3247433,7585
21,3409708,7780
22,3569396,8185
23,3727956,8585
24,3888115,8995
25,4049333,9400
26,4209003,9805
27,4371080,10120
28,4534237,10410
29,4697943,10830
30,4861523,11245
31,5025464,11660
32,5188802,12075
33,5349320,12480
34,5510279,12670
35,5671688,13080
36,5832850,13485
37,5993178,13895
38,6153693,14300
39,6314105,14710
40,6474158,15115
41,6632173,15300
42,6789374,15700
43,6948726,16105
44,7107792,16505
45,7265767,16910
46,7424277,17310
47,7582815,17710
48,7742185,17895
49,7899859,18295
50,8059761,18705
51,8220999,19110
52,8378160,19510
53,8534904,19910
54,8691495,20240
55,8850274,20490
56,9008951,20890
57,9167788,21295
58,9326172,21695
59,9485333,22100
60,9644641,22505
61,9804431,22770
62,9964775,23100
63,10123684,23505
64,10282663,23910
65,10436210,24300
66,10594099,24700
67,10752469,25100
68,10913582,25300
69,11074477,25695
70,11236671,26110
71,11398763,26520
72,11558587,26925
73,11718114,27330
74,11877371,27735
75,12035957,27915
76,12195447,28320
77,12351434,28715
78,12509931,29120
79,12668756,29525
80,12826927,29925
81,12985035,30325
82,13145183,30515
83,13304008,30920
84,13467330,31335
85,13630620,31750
86,13793713,32160
87,13956982,32575
88,14120540,32890
89,14284503,33185
90,14448719,33605
91,14612907,34020
92,14776802,34435
93,14939099,34850
94,15100090,35255
95,15262878,35450
96,15425668,35860
97,15588588,36275
98,15751288,36690
99,15913663,37100
100,16076083,37515
101,16238283,37925
102,16399263,38120
103,16555374,38515
104,16715772,38920
105,16876739,39330
106,17037289,39735
107,17197578,40145
108,17358254,40480
109,17518515,40740
110,17678759,41145
111,17842087,41560
112,18005410,41975
113,18167494,42385
114,18330144,42800
115,18493462,43010
116,18657406,43405
117,18821162,43825
118,18983641,44235
119,19146532,44650
120,19310162,45065
