Tiempo (s),Nodos
1,159769
2,322713
3,486749
4,650420
5,813657
6,977151
7,1140247
8,1302706
9,1464202
10,1626301
11,1785620
12,1947173
13,2109712
14,2272562
15,2436112
16,2599544
17,2762879
18,2924758
19,3087209
20,3249102
21,3411461
22,3571230
23,3729870
24,3890111
25,4051411
26,4211162
27,4373321
28,4536561
29,4700350
30,4864013
31,5028037
32,5191458
33,5352058
34,5513098
35,5674589
36,5835833
37,5996243
38,6156839
39,6317333
40,6477467
41,6635563
42,6792844
43,6952277
44,7111424
45,7269479
46,7428069
47,7586688
48,7746139
49,7903893
50,8063876
51,8225196
52,8382437
53,8539260
54,8695931
55,8854790
56,9013548
57,9172466
58,9330930
59,9490172
60,9649561
61,9809433
62,9969858
63,10128848
64,10287908
65,10441533
66,10599502
67,10757952
68,10919147
69,11080124
70,11242400
71,11404574
72,11564480
73,11724088
74,11883426
75,12042092
76,12201663
77,12357729
78,12516307
79,12675212
80,12833464
81,12991652
82,13151882
83,13310788
84,13474193
85,13637566
86,13800742
87,13964094
88,14127735
89,14291781
90,14456080
91,14620352
92,14784330
93,14946709
94,15107782
95,15270653
96,15433525
97,15596528
98,15759311
99,15921768
100,16084271
101,16246553
102,16407616
103,16563806
104,16724285
105,16885334
106,17045966
107,17206336
108,17367094
109,17527436
110,17687761
111,17851172
112,18014578
113,18176744
114,18339477
115,18502878
116,18666905
117,18830744
118,18993306
119,19156280
120,19319993
