Instancia;N_Ejecuciones;Mejor_Beneficio_Global;Media_Beneficio;Min_Beneficio;Desv_Est_Beneficio;Media_Tiempo(s);Media_Factibles;Media_Infactibles
INST15;5;37404.0;37325.6;37222.0;71.2095499213413;229.73539996147156;45831.2;4168.8
INST17;5;51507.0;51415.6;51349.0;58.820064603840756;372.38358144760133;43941.4;6058.6
INST19;5;61654.0;61581.8;61456.0;79.92308802842894;358.09477028846743;42275.4;7724.6
