Tiempo (s),Nodos
1,10088
2,20291
3,30516
4,40753
5,50962
6,61191
7,71405
8,81325
9,91542
10,101774
11,111965
12,122178
13,132404
14,142629
15,152868
16,163101
17,173191
18,183421
19,193694
20,203941
21,214203
22,224465
23,234712
24,244960
25,255216
26,265465
27,275721
28,285989
29,296249
30,306518
31,316750
32,327013
33,337269
34,347539
35,357769
36,368039
37,378282
38,388498
39,398747
40,409007
41,419264
42,429332
43,439575
44,449784
45,459902
46,470157
47,480306
48,490563
49,500521
50,510756
51,520967
52,530932
53,541208
54,551458
55,561724
56,571451
57,581545
58,591800
59,602030
60,612276
61,622511
62,632783
63,643004
64,653205
65,663437
66,673688
67,683585
68,693852
69,704100
70,714296
71,724525
72,734764
73,745032
74,755265
75,765535
76,775752
77,785878
78,796118
79,806378
80,816525
81,826774
82,837048
83,847287
84,857301
85,867543
86,877791
87,888040
88,898291
89,908538
90,918802
91,929016
92,939275
93,949508
94,959761
95,969987
96,980228
97,990445
98,1000001
99,1008900
100,1019060
101,1029304
102,1039364
103,1049511
104,1059723
105,1069038
106,1079237
107,1089083
108,1098797
109,1108845
110,1118432
111,1127468
112,1136871
113,1146946
114,1156723
115,1166269
116,1176303
117,1186230
118,1195886
119,1205945
120,1216203
