Tiempo (s),Factibles,Infactibles (Podas FC)
1,10066,0
2,20263,0
3,30482,0
4,40712,0
5,50915,0
6,61138,0
7,71345,0
8,81259,0
9,91470,0
10,101696,0
11,111880,0
12,122087,0
13,132307,0
14,142525,0
15,152758,0
16,162985,0
17,173068,0
18,183292,0
19,193559,0
20,203799,0
21,214055,0
22,224311,0
23,234551,0
24,244793,0
25,255043,0
26,265285,0
27,275535,0
28,285797,0
29,296050,0
30,306313,0
31,316539,0
32,326795,0
33,337045,0
34,347308,0
35,357532,0
36,367796,0
37,378032,0
38,388242,0
39,398485,0
40,408738,0
41,418989,0
42,429051,0
43,439288,0
44,449490,0
45,459602,0
46,469851,0
47,479993,0
48,490244,0
49,500196,0
50,510424,0
51,520629,0
52,530588,0
53,540858,0
54,551101,0
55,561361,0
56,571082,0
57,581170,0
58,591418,0
59,601642,0
60,611882,0
61,622110,0
62,632376,0
63,642591,0
64,652785,0
65,663011,0
66,673256,0
67,683147,0
68,693407,0
69,703649,0
70,713839,0
71,724061,0
72,734294,0
73,744556,0
74,754782,0
75,765046,0
76,775256,0
77,785376,0
78,795610,0
79,805864,0
80,816004,0
81,826247,0
82,836515,0
83,846747,0
84,856755,0
85,866991,0
86,877232,0
87,887475,0
88,897720,0
89,907960,0
90,918218,0
91,928426,0
92,938678,0
93,948905,0
94,959152,0
95,969371,0
96,979606,0
97,989817,0
98,999367,0
99,1008260,0
100,1018414,0
101,1028652,0
102,1038705,0
103,1048846,0
104,1059052,0
105,1068361,0
106,1078554,0
107,1088394,0
108,1098102,0
109,1108143,0
110,1117725,0
111,1126755,0
112,1136152,0
113,1146221,0
114,1155992,0
115,1165532,0
116,1175560,0
117,1185481,0
118,1195131,0
119,1205183,0
120,1215435,0
