Tiempo (s),Factibles,Infactibles (Podas FC)
1,72,0
2,78,0
3,84,0
4,89,0
5,95,0
6,102,0
7,107,0
8,114,0
9,120,0
10,126,0
11,133,0
12,139,0
13,143,0
14,146,0
15,149,0
16,152,0
17,155,0
18,158,0
19,161,0
20,164,0
21,167,0
22,170,0
23,173,0
24,176,0
25,180,0
26,183,0
27,185,0
28,189,0
29,192,0
30,195,0
31,198,0
32,201,0
33,204,0
34,206,0
35,208,0
36,210,0
37,212,0
38,214,0
39,216,0
40,218,0
41,220,0
42,222,0
43,224,0
44,226,0
45,228,0
46,230,0
47,232,0
48,234,0
49,236,0
50,238,0
51,240,0
52,242,0
53,244,0
54,246,0
55,248,0
56,250,0
57,252,0
58,254,0
59,256,0
60,258,0
61,260,0
62,262,0
63,264,0
64,265,0
65,267,0
66,269,0
67,271,0
68,273,0
69,273,0
70,275,0
71,276,0
72,277,0
73,278,0
74,279,0
75,280,0
76,281,0
77,282,0
78,283,0
79,284,0
80,285,0
81,285,0
82,287,0
83,288,0
84,288,0
85,289,0
86,290,0
87,291,0
88,292,0
89,293,0
90,294,0
91,295,0
92,296,0
93,297,0
94,298,0
95,299,0
96,300,0
97,301,0
98,302,0
99,303,0
100,304,0
101,305,0
102,306,0
103,307,0
104,308,0
106,309,0
106,309,0
107,310,0
108,311,0
109,312,0
110,313,0
111,314,0
112,315,0
113,316,0
114,317,0
115,318,0
116,319,0
117,320,0
119,321,0
119,321,0
120,322,0
121,323,0
123,324,0
123,324,0
124,325,0
125,326,0
126,327,0
127,328,0
128,329,0
130,330,0
130,330,0
131,331,0
132,332,0
133,333,0
134,334,0
135,335,0
137,336,0
137,336,0
138,337,0
139,338,0
140,339,0
141,339,0
142,340,0
143,341,0
144,342,0
145,343,0
146,344,0
148,345,0
148,345,0
149,346,0
150,347,0
151,348,0
152,349,0
153,350,0
155,351,0
155,351,0
156,352,0
157,353,0
159,354,0
159,354,0
160,355,0
161,356,0
162,357,0
163,357,0
164,358,0
165,359,0
166,360,0
167,361,0
168,362,0
170,363,0
170,363,0
171,364,0
172,365,0
173,366,0
174,366,0
175,367,0
176,368,0
177,369,0
178,370,0
179,371,0
181,372,0
181,372,0
182,373,0
183,374,0
185,375,0
185,375,0
186,376,0
187,377,0
189,378,0
189,378,0
190,379,0
191,380,0
193,381,0
193,381,0
194,382,0
195,383,0
197,384,0
197,384,0
198,385,0
199,386,0
200,387,0
201,387,0
202,388,0
203,389,0
204,390,0
205,390,0
206,391,0
207,392,0
208,393,0
209,393,0
210,394,0
211,395,0
212,396,0
213,396,0
214,398,0
216,399,0
216,399,0
217,400,0
218,401,0
220,402,0
220,402,0
221,403,0
222,404,0
224,405,0
224,405,0
225,406,0
226,407,0
228,408,0
228,408,0
229,409,0
230,410,0
232,411,0
232,411,0
233,412,0
234,413,0
236,414,0
236,414,0
237,415,0
238,416,0
240,417,0
240,417,0
241,418,0
242,419,0
244,420,0
244,420,0
245,421,0
246,422,0
248,423,0
248,423,0
249,424,0
250,425,0
252,426,0
252,426,0
253,426,0
254,427,0
255,428,0
256,429,0
257,429,0
258,430,0
259,431,0
261,432,0
261,432,0
262,433,0
263,434,0
265,435,0
265,435,0
266,436,0
267,437,0
269,438,0
269,438,0
270,439,0
271,440,0
273,441,0
273,441,0
274,442,0
275,443,0
277,444,0
277,444,0
278,445,0
279,446,0
281,447,0
281,447,0
282,448,0
283,449,0
285,450,0
285,450,0
286,450,0
287,452,0
