Tiempo (s),Mejor Costo
0,4520
0,4510
0,4500
0,4490
0,4480
0,4470
0,4460
0,4450
0,4440
0,4430
0,4420
0,4410
0,4400
0,4390
0,4380
0,4370
0,4360
0,4350
0,4340
0,4330
0,4320
0,4310
0,4300
0,4290
0,4280
0,4270
0,4260
0,4250
0,4240
0,4230
0,4220
0,4210
0,4200
0,4190
0,4180
0,4170
0,4160
0,4150
0,4140
0,4130
0,4120
0,4110
0,4100
0,4090
0,4080
0,4070
0,4060
0,4050
0,4040
0,4030
0,4020
0,4010
0,4000
0,3990
0,3980
0,3970
0,3960
0,3950
0,3940
0,3930
0,3920
0,3910
0,3900
0,3890
0,3880
0,3870
0,3860
0,3850
0,3840
0,3830
0,3820
0,3810
1,3810
1,3800
1,3790
1,3780
1,3770
1,3760
1,3750
2,3750
2,3740
2,3730
2,3720
2,3710
2,3700
2,3690
3,3690
3,3680
3,3670
3,3660
3,3650
3,3640
4,3640
4,3630
4,3620
4,3610
4,3600
4,3590
4,3580
5,3580
5,3570
5,3560
5,3550
5,3540
5,3530
5,3520
5,3510
6,3510
6,3500
6,3490
6,3480
6,3470
6,3460
7,3460
7,3450
7,3440
7,3430
7,3420
7,3410
7,3400
7,3390
8,3390
8,3380
8,3370
8,3360
8,3350
8,3340
8,3330
9,3330
9,3320
9,3310
9,3300
9,3290
9,3280
9,3270
10,3270
10,3260
10,3250
10,3240
10,3230
10,3220
10,3210
10,3200
11,3200
11,3190
11,3180
11,3170
11,3160
11,3150
11,3140
12,3140
12,3130
12,3120
12,3110
12,3100
13,3100
13,3090
13,3080
13,3070
14,3070
14,3060
14,3050
14,3040
15,3040
15,3030
15,3020
15,3010
16,3010
16,3000
16,2990
16,2980
17,2980
17,2970
17,2960
17,2950
18,2950
18,2940
18,2930
18,2920
19,2920
19,2910
19,2900
19,2890
20,2890
20,2880
20,2870
20,2860
21,2860
21,2850
21,2840
21,2830
22,2830
22,2820
22,2810
22,2800
23,2800
23,2790
23,2780
23,2770
24,2770
24,2760
24,2750
24,2740
24,2730
25,2730
25,2720
25,2710
25,2700
26,2700
26,2690
26,2680
27,2680
27,2670
27,2660
27,2650
27,2640
28,2640
28,2630
28,2620
28,2610
29,2610
29,2600
29,2590
29,2580
30,2580
30,2570
30,2560
30,2550
31,2550
31,2540
31,2530
31,2520
32,2520
32,2510
32,2500
32,2490
33,2490
33,2480
33,2470
34,2470
34,2460
34,2450
35,2450
35,2440
35,2430
36,2430
36,2420
36,2410
37,2410
37,2400
37,2390
38,2390
38,2380
38,2370
39,2370
39,2360
39,2350
40,2350
40,2340
40,2330
41,2330
41,2320
41,2310
42,2310
42,2300
42,2290
43,2290
43,2280
43,2270
44,2270
44,2260
44,2250
45,2250
45,2240
45,2230
46,2230
46,2220
46,2210
47,2210
47,2200
47,2190
48,2190
48,2180
48,2170
49,2170
49,2160
49,2150
50,2150
50,2140
50,2130
51,2130
51,2120
51,2110
52,2110
52,2100
52,2090
53,2090
53,2080
53,2070
54,2070
54,2060
54,2050
55,2050
55,2040
55,2030
56,2030
56,2020
56,2010
57,2010
57,2000
57,1990
58,1990
58,1980
58,1970
59,1970
59,1960
59,1950
60,1950
60,1940
60,1930
61,1930
61,1920
61,1910
62,1910
62,1900
62,1890
63,1890
63,1880
64,1880
64,1870
64,1860
65,1860
65,1850
65,1840
66,1840
66,1830
66,1820
67,1820
67,1810
67,1800
68,1800
69,1800
69,1790
69,1780
70,1780
70,1770
71,1770
71,1760
72,1760
72,1750
73,1750
73,1740
74,1740
74,1730
75,1730
75,1720
76,1720
76,1710
77,1710
77,1700
78,1700
78,1690
79,1690
79,1680
80,1680
81,1680
81,1670
81,1660
82,1660
82,1650
83,1650
84,1650
84,1640
85,1640
85,1630
86,1630
86,1620
87,1620
87,1610
88,1610
88,1600
89,1600
89,1590
90,1590
90,1580
91,1580
91,1570
92,1570
92,1560
93,1560
93,1550
94,1550
94,1540
95,1540
95,1530
96,1530
96,1520
97,1520
97,1510
98,1510
98,1500
99,1500
99,1490
100,1490
100,1480
101,1480
101,1470
102,1470
102,1460
103,1460
103,1450
104,1450
104,1440
106,1440
106,1440
106,1430
107,1430
107,1420
108,1420
108,1410
109,1410
109,1400
110,1400
110,1390
111,1390
111,1380
112,1380
112,1370
113,1370
113,1360
114,1360
114,1350
115,1350
115,1340
116,1340
116,1330
117,1330
117,1320
119,1320
119,1320
119,1310
120,1310
120,1300
121,1300
121,1290
123,1290
123,1290
123,1280
124,1280
124,1270
125,1270
125,1260
126,1260
126,1250
127,1250
127,1240
128,1240
128,1230
130,1230
130,1230
130,1220
131,1220
131,1210
132,1210
132,1200
133,1200
133,1190
134,1190
134,1180
135,1180
135,1170
137,1170
137,1170
137,1160
138,1160
138,1150
139,1150
139,1140
140,1140
141,1140
141,1130
142,1130
142,1120
143,1120
143,1110
144,1110
144,1100
145,1100
145,1090
146,1090
146,1080
148,1080
148,1080
148,1070
149,1070
149,1060
150,1060
150,1050
151,1050
151,1040
152,1040
152,1030
153,1030
153,1020
155,1020
155,1020
155,1010
156,1010
156,1000
157,1000
157,990
159,990
159,990
159,980
160,980
160,970
161,970
161,960
162,960
163,960
163,950
164,950
164,940
165,940
165,930
166,930
166,920
167,920
167,910
168,910
168,900
170,900
170,900
170,890
171,890
171,880
172,880
172,870
173,870
174,870
174,860
175,860
175,850
176,850
176,840
177,840
177,830
178,830
178,820
179,820
179,810
181,810
181,810
181,800
182,800
182,790
183,790
183,780
185,780
185,780
185,770
186,770
186,760
187,760
187,750
189,750
189,750
189,740
190,740
190,730
191,730
191,720
193,720
193,720
193,710
194,710
194,700
195,700
195,690
197,690
197,690
197,680
198,680
198,670
199,670
199,660
200,660
201,660
201,650
202,650
202,640
203,640
203,630
204,630
205,630
205,620
206,620
206,610
207,610
207,600
208,600
209,600
209,590
210,590
210,580
211,580
211,570
212,570
213,570
213,560
213,550
214,550
214,540
216,540
216,540
216,530
217,530
217,520
218,520
218,510
220,510
220,510
220,500
221,500
221,490
222,490
222,480
224,480
224,480
224,470
225,470
225,460
226,460
226,450
228,450
228,450
228,440
229,440
229,430
230,430
230,420
232,420
232,420
232,410
233,410
233,400
234,400
234,390
236,390
236,390
