Tiempo (s),Mejor Costo
236,380
237,380
237,370
238,370
238,360
240,360
240,360
240,350
241,350
241,340
242,340
242,330
244,330
244,330
244,320
245,320
245,310
246,310
246,300
248,300
248,300
248,290
249,290
249,280
250,280
250,270
252,270
252,270
253,270
253,260
254,260
254,250
255,250
255,240
256,240
257,240
257,230
258,230
258,220
259,220
259,210
261,210
261,210
261,200
262,200
262,190
263,190
263,180
265,180
265,180
265,170
266,170
266,160
267,160
267,150
269,150
269,150
269,140
270,140
270,130
271,130
271,120
273,120
273,120
273,110
274,110
274,100
275,100
275,90
277,90
277,90
277,80
278,80
278,70
279,70
279,60
281,60
281,60
281,50
282,50
282,40
283,40
283,30
285,30
285,30
286,30
286,20
286,10
287,10
287,0
