Tiempo (s),Nodos
1,93
2,105
3,117
4,127
5,139
6,153
7,163
8,177
9,189
10,201
11,215
12,227
13,236
14,245
15,254
16,263
17,272
18,282
19,292
20,301
21,310
22,319
23,328
24,337
25,347
26,356
27,364
28,374
29,383
30,392
31,401
32,410
33,419
34,427
35,435
36,443
37,451
38,459
39,467
40,475
41,483
42,491
43,499
44,507
45,515
46,523
47,531
48,539
49,547
50,555
51,563
52,571
53,579
54,587
55,595
56,603
57,611
58,619
59,627
60,635
61,643
62,652
63,660
64,668
65,673
66,682
67,692
68,700
69,706
70,712
71,719
72,727
73,734
74,741
75,749
76,756
77,763
78,771
79,778
80,785
81,792
82,800
83,807
84,814
85,821
86,828
87,829
88,837
89,844
90,851
91,859
92,866
93,873
94,881
95,888
96,895
97,903
98,910
99,917
100,925
101,932
102,939
103,948
104,955
106,962
106,963
107,971
108,978
109,985
110,994
111,1001
112,1008
113,1017
114,1024
115,1031
116,1041
117,1048
119,1055
119,1056
120,1065
121,1072
123,1079
123,1080
124,1089
125,1096
126,1103
127,1114
128,1121
130,1128
130,1129
131,1139
132,1146
133,1153
134,1164
135,1171
137,1178
137,1179
138,1189
139,1196
140,1203
141,1213
142,1219
143,1228
144,1229
145,1241
146,1248
148,1255
148,1256
149,1267
150,1274
151,1281
152,1293
153,1300
155,1307
155,1308
156,1319
157,1326
159,1333
159,1334
160,1345
161,1352
162,1359
163,1367
164,1377
165,1384
166,1385
167,1397
168,1404
170,1411
170,1412
171,1423
172,1430
173,1437
174,1439
175,1449
176,1456
177,1463
178,1475
179,1482
181,1489
181,1490
182,1501
183,1508
185,1515
185,1516
186,1528
187,1535
189,1542
189,1543
190,1555
191,1562
193,1569
193,1570
194,1582
195,1589
197,1596
197,1597
198,1609
199,1616
200,1623
201,1624
202,1636
203,1643
204,1650
205,1652
206,1663
207,1670
208,1677
209,1683
210,1690
211,1697
212,1704
213,1716
214,1724
216,1731
216,1732
217,1744
218,1751
220,1758
220,1759
221,1771
222,1778
224,1785
224,1786
225,1798
226,1805
228,1812
228,1813
229,1826
230,1833
232,1840
232,1841
233,1854
234,1861
236,1868
236,1869
237,1882
238,1889
240,1896
240,1897
241,1910
242,1917
244,1924
244,1925
245,1938
246,1945
248,1952
248,1953
249,1966
250,1973
252,1980
252,1981
253,1988
254,2000
255,2008
256,2009
257,2014
258,2024
259,2031
261,2038
261,2039
262,2053
263,2060
265,2067
265,2068
266,2082
267,2089
269,2096
269,2097
270,2111
271,2118
273,2125
273,2126
274,2140
275,2147
277,2154
277,2155
278,2169
279,2176
281,2183
281,2184
282,2198
283,2205
285,2212
285,2213
286,2226
287,2234
