Tiempo (s),Nodos
1,7096
2,14122
3,21311
4,28400
5,35756
6,43033
7,50446
8,57824
9,65074
10,72209
11,79092
12,86356
13,93531
14,100766
15,108108
16,115347
17,121585
18,128202
19,135506
20,142794
21,150147
22,156846
23,163901
24,170900
25,178080
26,185307
27,192483
28,199821
29,207159
30,214508
31,221849
32,229184
33,236393
34,243567
35,250562
36,256789
37,263766
38,271100
39,278439
40,285803
41,293156
42,300513
43,307860
44,315225
45,322584
46,329933
47,337296
48,344653
49,352066
50,359482
51,366899
52,374329
53,381771
54,389203
55,396658
56,404056
57,411393
58,418731
59,426084
60,433432
61,440783
62,448122
63,455471
64,462775
65,469769
66,477096
67,484462
68,491832
69,499212
70,506600
71,513962
72,521340
73,528725
74,536102
75,543282
76,550641
77,557980
78,565322
79,572434
80,578777
81,585522
82,592819
83,600089
84,606839
85,614187
86,621538
87,628838
88,635780
89,643128
90,650117
91,657101
92,664076
93,671341
94,678466
95,685621
96,692939
97,700141
98,707540
99,714916
100,722333
101,729711
102,736969
103,744397
104,751750
105,759045
106,766394
107,773464
108,780798
109,788147
110,795477
111,802775
112,810097
113,817407
114,824752
115,831976
116,839331
117,846696
118,854034
119,861382
120,868732
