Tiempo (s),Factibles,Infactibles (Podas FC)
1,7040,0
2,14054,0
3,21230,0
4,28307,0
5,35649,0
6,42913,0
7,50311,0
8,57676,0
9,64915,0
10,72040,0
11,78913,0
12,86166,0
13,93330,0
14,100553,0
15,107884,0
16,115111,0
17,121339,0
18,127944,0
19,135236,0
20,142511,0
21,149851,0
22,156538,0
23,163579,0
24,170565,0
25,177731,0
26,184943,0
27,192104,0
28,199426,0
29,206753,0
30,214091,0
31,221421,0
32,228745,0
33,235943,0
34,243106,0
35,250090,0
36,256307,0
37,263272,0
38,270594,0
39,277920,0
40,285271,0
41,292611,0
42,299955,0
43,307288,0
44,314639,0
45,321983,0
46,329317,0
47,336665,0
48,344004,0
49,351405,0
50,358808,0
51,366212,0
52,373629,0
53,381057,0
54,388476,0
55,395916,0
56,403302,0
57,410628,0
58,417955,0
59,425297,0
60,432634,0
61,439974,0
62,447301,0
63,454638,0
64,461930,0
65,468912,0
66,476227,0
67,483580,0
68,490937,0
69,498303,0
70,505677,0
71,513025,0
72,520389,0
73,527759,0
74,535120,0
75,542284,0
76,549632,0
77,556960,0
78,564291,0
79,571393,0
80,577726,0
81,584460,0
82,591746,0
83,599004,0
84,605743,0
85,613079,0
86,620417,0
87,627704,0
88,634634,0
89,641969,0
90,648945,0
91,655915,0
92,662876,0
93,670127,0
94,677237,0
95,684376,0
96,691679,0
97,698869,0
98,706255,0
99,713618,0
100,721022,0
101,728386,0
102,735630,0
103,743044,0
104,750387,0
105,757671,0
106,765009,0
107,772068,0
108,779391,0
109,786728,0
110,794047,0
111,801333,0
112,808643,0
113,815940,0
114,823272,0
115,830484,0
116,837825,0
117,845176,0
118,852500,0
119,859834,0
120,867169,0
