Tiempo (s),Mejor Costo
0,1550
0,1549
0,1548
0,1547
0,1546
0,1545
0,1544
0,1543
0,1542
0,1541
0,1540
0,1539
0,1538
0,1537
0,1536
0,1535
0,1534
0,1533
0,1532
0,1531
0,1530
0,1529
0,1528
0,1527
0,1526
0,1525
1,1525
2,1525
3,1525
4,1525
5,1525
6,1525
7,1525
8,1525
9,1525
10,1525
11,1525
12,1525
13,1525
14,1525
15,1525
16,1525
17,1525
17,1524
17,1523
17,1522
17,1521
17,1520
17,1519
17,1518
17,1517
17,1516
17,1515
17,1514
17,1513
17,1512
17,1511
17,1510
17,1509
17,1508
17,1507
17,1506
17,1505
17,1504
17,1503
18,1503
18,1502
18,1501
18,1500
18,1499
18,1498
18,1497
18,1496
18,1495
18,1494
18,1493
18,1492
18,1491
18,1490
18,1489
18,1488
18,1487
18,1486
18,1485
18,1484
18,1483
18,1482
18,1481
18,1480
18,1479
18,1478
18,1477
19,1477
19,1476
19,1475
20,1475
21,1475
22,1475
23,1475
24,1475
25,1475
26,1475
27,1475
28,1475
29,1475
30,1475
31,1475
32,1475
33,1475
34,1475
35,1475
36,1475
37,1475
38,1475
39,1475
40,1475
41,1475
42,1475
43,1475
44,1475
45,1475
46,1475
47,1475
48,1475
49,1475
50,1475
51,1475
52,1475
53,1475
54,1475
55,1475
56,1475
57,1475
58,1475
59,1475
60,1475
61,1475
62,1475
63,1475
64,1475
65,1475
66,1475
67,1475
68,1475
69,1475
70,1475
71,1475
72,1475
73,1475
74,1475
75,1475
76,1475
77,1475
78,1475
79,1475
80,1475
81,1475
82,1475
83,1475
84,1475
85,1475
86,1475
87,1475
88,1475
89,1475
90,1475
91,1475
92,1475
93,1475
94,1475
95,1475
96,1475
97,1475
98,1475
99,1475
100,1475
101,1475
102,1475
103,1475
104,1475
105,1475
106,1475
107,1475
108,1475
109,1475
110,1475
111,1475
112,1475
113,1475
114,1475
115,1475
116,1475
117,1475
118,1475
119,1475
120,1475
